Nom de la station,Latitude,Longitude
Abbesses,48.8841,2.3387
Alexandre Dumas,48.8566,2.3983
Alma - Marceau,48.8632,2.3005
Alésia,48.8263,2.3265
Anvers,48.8820,2.3440
Argentine,48.8755,2.2893
Arts et Métiers,48.8660,2.3605
Assemblée Nationale,48.8619,2.3200
Avenue Émile Zola,48.8470,2.2915
Avron,48.8507,2.3980
Balard,48.8380,2.2785
Barbès - Rochechouart,48.8835,2.3495
Bastille,48.8530,2.3690
Bel-Air,48.8415,2.3980
Belleville,48.8722,2.3725
Bercy,48.8405,2.3810
Bibliothèque François Mitterrand,48.8290,2.3765
Bir-Hakeim,48.8553,2.2895
Blanche,48.8835,2.3325
Boissière,48.8655,2.2900
Bonne Nouvelle,48.8700,2.3495
Boucicaut,48.8410,2.2855
Brochant,48.8925,2.3195
Bréguet - Sabin,48.8575,2.3705
Buzenval,48.8500,2.4000
Cadet,48.8760,2.3435
Cambronne,48.8475,2.3015
Campo-Formio,48.8355,2.3575
Cardinal Lemoine,48.8465,2.3520
Censier - Daubenton,48.8415,2.3515
Champs-Élysées - Clemenceau,48.8675,2.3165
Charles Michels,48.8460,2.2870
Charles de Gaulle - Étoile,48.8738,2.2950
Charonne,48.8515,2.3855
Chaussée d'Antin - La Fayette,48.8720,2.3335
Chemin Vert,48.8570,2.3700
Chevaleret,48.8335,2.3685
Château Rouge,48.8870,2.3490
Château d'Eau,48.8710,2.3575
Château-Landon,48.8785,2.3620
Châtelet,48.8580,2.3475
Cité,48.8555,2.3465
Cluny - La Sorbonne,48.8515,2.3440
Colonel Fabien,48.8770,2.3705
Commerce,48.8475,2.2925
Concorde,48.8650,2.3215
Convention,48.8385,2.2955
Corentin Cariou,48.8950,2.3830
Corvisart,48.8315,2.3505
Cour Saint-Émilion,48.8330,2.3865
Courcelles,48.8790,2.3095
Couronnes,48.8675,2.3790
Crimée,48.8910,2.3765
Daumesnil,48.8395,2.3955
Denfert-Rochereau,48.8339,2.3327
Dugommier,48.8390,2.3895
Dupleix,48.8490,2.2935
Duroc,48.8465,2.3160
Edgar Quinet,48.8415,2.3235
Exelmans,48.8445,2.2645
Faidherbe - Chaligny,48.8505,2.3835
Falguière,48.8440,2.3150
Filles du Calvaire,48.8625,2.3665
Franklin D. Roosevelt,48.8695,2.3095
Félix Faure,48.8410,2.2875
Gare d'Austerlitz,48.8420,2.3650
Gare de Lyon,48.8440,2.3730
Gare de l'Est,48.8765,2.3585
Gare du Nord,48.8800,2.3550
Gaîté,48.8395,2.3230
George V,48.8720,2.3015
Glacière,48.8310,2.3455
Goncourt,48.8690,2.3700
Grands Boulevards,48.8725,2.3435
Guy Môquet,48.8920,2.3260
Havre - Caumartin,48.8720,2.3275
Hôtel de Ville,48.8575,2.3515
Invalides,48.8625,2.3160
Iéna,48.8640,2.2935
Jacques Bonsergent,48.8700,2.3625
Jasmin,48.8525,2.2695
Jaurès,48.8825,2.3700
Javel - André Citroën,48.8415,2.2775
Jourdain,48.8755,2.3870
Jules Joffrin,48.8925,2.3445
Jussieu,48.8440,2.3555
Kléber,48.8725,2.2930
La Chapelle,48.8845,2.3590
La Fourche,48.8875,2.3265
La Motte-Picquet - Grenelle,48.8495,2.2985
La Muette,48.8625,2.2755
La Tour-Maubourg,48.8585,2.3125
Lamarck - Caulaincourt,48.8915,2.3405
Laumière,48.8845,2.3795
Le Peletier,48.8750,2.3405
Ledru-Rollin,48.8510,2.3755
Les Gobelins,48.8355,2.3550
Les Halles,48.8620,2.3460
Liège,48.8780,2.3265
Louis Blanc,48.8820,2.3630
Lourmel,48.8385,2.2820
Louvre - Rivoli,48.8620,2.3400
Mabillon,48.8525,2.3375
Madeleine,48.8690,2.3245
Maison Blanche,48.8255,2.3550
Maraîchers,48.8510,2.4025
Marcadet - Poissonniers,48.8920,2.3490
Marx Dormoy,48.8890,2.3595
Maubert - Mutualité,48.8495,2.3475
Michel Bizot,48.8355,2.3985
Michel-Ange - Auteuil,48.8475,2.2655
Michel-Ange - Molitor,48.8470,2.2695
Mirabeau,48.8465,2.2755
Miromesnil,48.8735,2.3165
Monceau,48.8795,2.3085
Montgallet,48.8430,2.3860
Montparnasse - Bienvenüe,48.8445,2.3230
Mouton-Duvernet,48.8335,2.3305
Ménilmontant,48.8665,2.3810
Nation,48.8485,2.3955
Nationale,48.8310,2.3625
Notre-Dame-de-Lorette,48.8765,2.3385
Notre-Dame-des-Champs,48.8460,2.3285
Oberkampf,48.8635,2.3705
Odéon,48.8520,2.3425
Olympiades,48.8270,2.3665
Opéra,48.8700,2.3325
Ourcq,48.8895,2.3825
Palais Royal - Musée du Louvre,48.8625,2.3365
Passy,48.8575,2.2875
Pasteur,48.8440,2.3125
Pernety,48.8330,2.3205
Philippe Auguste,48.8565,2.3895
Picpus,48.8445,2.3985
Pigalle,48.8825,2.3375
Place Monge,48.8440,2.3510
Place d'Italie,48.8315,2.3555
Place de Clichy,48.8830,2.3260
Place des Fêtes,48.8760,2.3895
Plaisance,48.8325,2.3145
Poissonnière,48.8780,2.3485
Pont Cardinet,48.8875,2.3165
Pont Marie,48.8545,2.3575
Pont Neuf,48.8585,2.3425
Porte Dorée,48.8350,2.4060
Porte Maillot,48.8780,2.2825
Porte d'Italie,48.8195,2.3625
Porte d'Ivry,48.8190,2.3705
Porte d'Orléans,48.8235,2.3255
Porte de Charenton,48.8285,2.4005
Porte de Choisy,48.8195,2.3610
Porte de Clichy,48.8950,2.3135
Porte de Clignancourt,48.8975,2.3445
Porte de Montreuil,48.8490,2.4090
Porte de Pantin,48.8885,2.3935
Porte de Saint-Cloud,48.8370,2.2565
Porte de Vanves,48.8275,2.3035
Porte de Versailles,48.8320,2.2870
Porte de Vincennes,48.8475,2.4075
Porte de la Chapelle,48.8980,2.3595
Porte de la Villette,48.8970,2.3845
Porte des Lilas,48.8770,2.4070
Pyramides,48.8650,2.3330
Pyrénées,48.8730,2.3815
Père Lachaise,48.8610,2.3875
Quai de la Gare,48.8380,2.3735
Quai de la Rapée,48.8440,2.3665
Rambuteau,48.8615,2.3535
Ranelagh,48.8570,2.2695
Raspail,48.8410,2.3280
Rennes,48.8465,2.3285
Reuilly - Diderot,48.8480,2.3865
Richard-Lenoir,48.8615,2.3745
Richelieu - Drouot,48.8725,2.3385
Riquet,48.8890,2.3730
Rome,48.8820,2.3195
Rue de la Pompe,48.8645,2.2795
Rue des Boulets,48.8515,2.3875
Rue du Bac,48.8555,2.3245
Réaumur - Sébastopol,48.8655,2.3525
République,48.8670,2.3630
Saint-Ambroise,48.8610,2.3775
Saint-Augustin,48.8745,2.3190
Saint-François-Xavier,48.8505,2.3120
Saint-Germain-des-Prés,48.8540,2.3335
Saint-Jacques,48.8320,2.3360
Saint-Lazare,48.8755,2.3250
Saint-Marcel,48.8395,2.3605
Saint-Michel,48.8530,2.3430
Saint-Paul,48.8555,2.3610
Saint-Philippe-du-Roule,48.8725,2.3090
Saint-Placide,48.8475,2.3255
Saint-Sulpice,48.8515,2.3330
Saint-Sébastien - Froissart,48.8620,2.3690
Simplon,48.8925,2.3495
Solferino,48.8605,2.3225
Stalingrad,48.8845,2.3700
Strasbourg - Saint-Denis,48.8685,2.3535
Sully - Morland,48.8509,2.3621
Sèvres - Babylone,48.8514,2.3267
Sèvres - Lecourbe,48.8417,2.3092
Ségur,48.8457,2.3101
Ternes,48.8781,2.3012
Tolbiac,48.8277,2.3561
Trinité - d'Estienne d'Orves,48.8765,2.3321
Trocadéro,48.8633,2.2882
Tuileries,48.8656,2.3280
Télégraphe,48.8775,2.3971
Vaneau,48.8471,2.3207
Vaugirard,48.8393,2.3036
Vavin,48.8425,2.3308
Victor Hugo,48.8683,2.2857
Villiers,48.8820,2.3144
Volontaires,48.8415,2.3133
Voltaire,48.8573,2.3842
École Militaire,48.8553,2.3063
Église d'Auteuil,48.8471,2.2661
Étienne Marcel,48.8628,2.3474
Porte de Bagnolet,48.864565,2.407278
Gambetta,48.864947,2.398451
Rue Saint-Maur,48.864335,2.379448
Parmentier,48.865299,2.374381
Temple,48.866488,2.360595
Sentier,48.867569,2.346387
Bourse,48.868738,2.341370
Quatre-Septembre,48.869574,2.336633
Europe,48.878821,2.322380
Malesherbes,48.882476,2.311002
George V,48.8720,2.3015
Wagram,48.884057,2.303668
Pereire,48.885239,2.296958
Porte de Champerret,48.885041,2.293313
Notre-Dame-des-Champs,48.8460,2.3285
Les Halles,48.8620,2.3460
Père Lachaise,48.8610,2.3875
Pont Neuf,48.8585,2.3425
Pont Marie,48.8545,2.3575
Sully - Morland,48.8509,2.3621
Cour Saint-Émilion,48.8330,2.3865
Quai de la Rapée,48.8440,2.3665
Saint-Marcel,48.8395,2.3605
Campo-Formio,48.8355,2.3575
Chemin Vert,48.8570,2.3700
