Nom station de métro,Temps vers station suivante (min)
Mairie d'Issy,2
Corentin Celton,2
Porte de Versailles,2
Convention,2
Vaugirard,2
Volontaires,2
Pasteur,2
Falguière,2
Montparnasse - Bienvenüe,2
Notre-Dame-des-Champs,2
Rennes,2
Saint-Placide,2
Sèvres - Babylone,2
Rue du Bac,2
Solferino,2
Assemblée Nationale,2
Concorde,2
Madeleine,2
Saint-Lazare,2
Trinité - d'Estienne d'Orves,2
Notre-Dame-de-Lorette,2
Pigalle,2
Abbesses,2
Lamarck - Caulaincourt,2
Jules Joffrin,2
Marcadet - Poissonniers,2
Marx Dormoy,2
Porte de la Chapelle,2
Front Populaire,2
Mairie d'Aubervilliers,0
