Nom station de métro,Temps vers station suivante (min)
Balard,2
Lourmel,2
Boucicaut,2
Félix Faure,2
Commerce,2
La Motte-Picquet - Grenelle,2
École Militaire,2
La Tour-Maubourg,2
Invalides,2
Concorde,2
Madeleine,2
Opéra,2
Richelieu - Drouot,2
Grands Boulevards,2
Bonne Nouvelle,2
Strasbourg - Saint-Denis,2
République,2
Filles du Calvaire,2
Saint-Sébastien - Froissart,2
Chemin Vert,2
Bastille,2
Ledru-Rollin,2
Faidherbe - Chaligny,2
Reuilly - Diderot,2
Montgallet,2
Daumesnil,2
Michel Bizot,2
Porte Dorée,2
Porte de Charenton,2
Liberté,2
Charenton - Écoles,2
École Vétérinaire de Maisons-Alfort,2
Maisons-Alfort - Stade,2
Maisons-Alfort - Les Juilliottes,2
Créteil - L'Échat,2
Créteil - Université,2
Créteil - Préfecture,0
