Nom station de métro,Temps vers station suivante (min)
Mairie de Montreuil,0
Croix de Chavaux,2
Robespierre,2
Porte de Montreuil,2
Maraîchers,2
Buzenval,2
Nation,2
Rue des Boulets,2
Charonne,2
Voltaire,2
Saint-Ambroise,2
Oberkampf,2
République,2
Strasbourg - Saint-Denis,2
Bonne Nouvelle,2
Grands Boulevards,2
Richelieu - Drouot,2
Chaussée d'Antin - La Fayette,2
Havre - Caumartin,2
Saint-Augustin,2
Miromesnil,2
Saint-Philippe-du-Roule,2
Franklin D. Roosevelt,2
Alma - Marceau,2
Iéna,2
Trocadéro,2
Rue de la Pompe,2
La Muette,2
Ranelagh,2
Jasmin,2
Michel-Ange - Auteuil,2
Michel-Ange - Molitor,2
Exelmans,2
Porte de Saint-Cloud,2
Marcel Sembat,2
Billancourt,2
Pont de Sèvres,2
